#{"t_start": 1606173274.643363, "env_id": "wildfireCA-v0"}
r,l,t
-828,60,0.655022
-844,36,1.009924
-764,43,1.426568
-856,39,1.808077
-726,74,2.498358
-784,46,2.936219
0,1,2.968143
0,1,3.00077
-715,65,3.599435
0,1,3.632644
-807,38,3.999725
-856,36,4.353241
-811,38,4.724229
-792,39,5.099941
-846,43,5.534566
-814,60,6.095188
-758,40,6.483105
0,1,6.516913
-831,51,7.032391
0,1,7.064554
0,1,7.096034
-549,60,7.708567
-721,49,8.172971
0,1,8.203345
-759,47,8.648995
0,1,8.680848
-823,49,9.148539
0,1,9.180514
0,1,9.212496
-830,42,9.62071
-685,33,9.946897
0,1,9.979232
0,1,10.011705
-814,29,10.305841
0,1,10.341195
-831,37,10.708839
-853,33,11.073473
-772,34,11.406309
0,1,11.445553
-768,49,11.911643
0,1,11.94366
-821,37,12.305724
0,1,12.336914
-757,34,12.667913
-784,50,13.218872
-791,56,13.838629
0,1,13.872032
-729,62,14.449051
-808,49,14.934086
-856,39,15.309972
-632,52,15.797303
0,1,15.828739
-662,50,16.305681
-777,47,16.786264
0,1,16.872027
-724,42,17.294178
-621,42,18.571963
-743,49,19.564746
-770,51,20.844616
-763,51,21.855822
-758,67,23.364121
-849,65,24.34234
